column,dtype,n_unique,n_missing,example_values
age,float64,45,8,"37.0, 44.0, 32.0, 31.0, 33.0"
anonymity,object,3,0,"Yes, Don't know, No"
benefits,object,3,0,"Yes, Don't know, No"
care_options,object,3,0,"Not sure, No, Yes"
comments,object,159,1096,"I'm not on my company's health insurance which could be part of the reason I answered Don't know to so many questions., I have chronic low-level neurological issues that have mental health side effects. One of my supervisors has also experienced similar neurological problems so I feel more comfortable being open about my issues than I would with someone without that experience., My company does provide healthcare but not to me as I'm on a fixed-term contract. The mental healthcare I use is provided entirely outside of my work., Relatively new job. Ask again later, Sometimes I think  about using drugs for my mental health issues. If i use drugs I feel better"
country,object,48,0,"United States, Canada, United Kingdom, Bulgaria, France"
coworkers,object,3,0,"Some of them, No, Yes"
family_history,object,2,0,"No, Yes"
gender,object,3,0,"Female, Male, Non-binary/Other"
leave,object,5,0,"Somewhat easy, Don't know, Somewhat difficult, Very difficult, Very easy"
mental_health_consequence,object,3,0,"No, Maybe, Yes"
mental_health_interview,object,3,0,"No, Yes, Maybe"
mental_vs_physical,object,3,0,"Yes, Don't know, No"
no_employees,object,6,0,"6-25, More than 1000, 26-100, 100-500, 1-5"
obs_consequence,object,2,0,"No, Yes"
phys_health_consequence,object,3,0,"No, Yes, Maybe"
phys_health_interview,object,3,0,"Maybe, No, Yes"
remote_work,object,2,0,"No, Yes"
seek_help,object,3,0,"Yes, Don't know, No"
self_employed,object,2,18,"Yes, No"
state,object,45,515,"IL, IN, TX, TN, MI"
supervisor,object,3,0,"Yes, No, Some of them"
tech_company,object,2,0,"Yes, No"
timestamp,"datetime64[ns, UTC]",1246,0,"2014-08-27 11:29:31+00:00, 2014-08-27 11:29:37+00:00, 2014-08-27 11:29:44+00:00, 2014-08-27 11:29:46+00:00, 2014-08-27 11:30:22+00:00"
treatment,object,2,0,"Yes, No"
wellness_program,object,3,0,"No, Don't know, Yes"
work_interfere,object,4,264,"Often, Rarely, Never, Sometimes"
